Event,Date,White,Black,Result,BlackElo,WhiteElo,ECO
Rated Bullet game,2018.11.16,Maerceci,aminstudio,1-0,1841,1703,E90
Rated Bullet game,2018.11.16,aminstudio,Maerceci,1-0,1710,1834,A11
Rated Bullet game,2018.11.16,Maerceci,grondilu,0-1,1715,1720,A40
Rated Bullet game,2018.11.16,Maerceci,beto07,1-0,1664,1711,A40
Rated Bullet game,2018.11.16,beto07,Maerceci,0-1,1702,1673,C02
Rated Bullet game,2018.11.16,Maerceci,beto07,1-0,1683,1692,A43
Rated Bullet game,2018.11.16,wckchung,Maerceci,0-1,1682,1670,C01
Rated Bullet game,2018.11.16,Maerceci,wckchung,1-0,1681,1671,D30
Rated Bullet game,2018.11.16,Xopiad,Maerceci,0-1,1660,1695,D37
Rated Bullet game,2018.11.16,Maerceci,amoso,0-1,1715,1669,D13
Rated Bullet game,2018.11.16,islam_zayed,Maerceci,0-1,1661,1577,C00
Rated Bullet game,2018.11.16,mitch56,Maerceci,1-0,1671,1678,A11
Rated Bullet game,2018.11.16,tttteeee,Maerceci,1-0,1682,1666,D37
Rated Bullet game,2018.11.16,Maerceci,tttteeee,0-1,1655,1693,E60
Rated Bullet game,2018.11.16,tttteeee,Maerceci,1-0,1705,1643,D37
Rated Bullet game,2018.11.16,Maerceci,tttteeee,1-0,1652,1696,E60
Rated Bullet game,2018.11.16,tttteeee,Maerceci,1/2-1/2,1698,1650,D37
Rated Bullet game,2018.11.16,Maerceci,tttteeee,1-0,1660,1688,E60
Rated Bullet game,2018.11.16,tttteeee,Maerceci,0-1,1678,1670,D58
Rated Bullet game,2018.11.16,Maerceci,tttteeee,0-1,1658,1689,E60
Rated Bullet game,2018.11.16,avivatico2,Maerceci,0-1,1680,1656,D35
Rated Bullet game,2018.11.16,Mikecollins,Maerceci,1-0,1691,1659,C01
Rated Bullet game,2018.11.16,Maerceci,eze33,1-0,1635,1682,D15
Rated Bullet game,2018.11.16,Maerceci,marlonolayaac,0-1,1677,1693,A43
Rated Bullet game,2018.11.16,Maerceci,drnewton2,0-1,1771,1701,D11
Rated Bullet game,2018.11.16,Maerceci,ganeshraja,1-0,1682,1691,D30
Rated Bullet game,2018.11.16,edrico48,Maerceci,0-1,1680,1697,C00
Rated Bullet game,2018.11.16,Noido,Maerceci,0-1,1669,1698,D05
Rated Bullet game,2018.11.16,Maerceci,JulianJaySavarin,1-0,1618,1660,A40
Rated Bullet game,2018.11.16,Milloneta,Maerceci,0-1,1651,1620,C00
Rated Bullet game,2018.11.16,tjw4343,Maerceci,1-0,1660,1689,C00
Rated Bullet game,2018.11.16,Maerceci,Akusayangkamu,0-1,1725,1669,A40
Rated Bullet game,2018.11.16,Mark_Olv,Maerceci,1-0,1679,1688,D06
Rated Bullet game,2018.11.16,Maerceci,Bauernweisheit,1-0,1645,1669,A52
Rated Bullet game,2018.11.16,YizusOurSaviour,Maerceci,0-1,1656,1764,C02
Rated Bullet game,2018.11.16,Maerceci,Jularche,0-1,1707,1665,D20
Rated Bullet game,2018.11.15,Maerceci,jmonteirchess,0-1,1658,1676,A40
Rated Bullet game,2018.11.15,jmonteirchess,Maerceci,0-1,1665,1669,C00
Rated Bullet game,2018.11.15,Maerceci,jmonteirchess,1-0,1680,1654,A40
Rated Bullet game,2018.11.15,jmonteirchess,Maerceci,0-1,1642,1692,C00
Rated Bullet game,2018.11.15,Maerceci,jmonteirchess,0-1,1682,1652,A40
Rated Bullet game,2018.11.15,Maerceci,Rocket_89P13,0-1,1689,1661,D30
Rated Bullet game,2018.11.15,reza-srm,Maerceci,1-0,1672,1658,A08
Rated Bullet game,2018.11.15,Maerceci,arieleo,1-0,1704,1661,A85
Rated Bullet game,2018.11.15,Maerceci,Guillaso323,1-0,1595,1652,A40
Rated Bullet game,2018.11.15,indigodescending,Maerceci,0-1,1643,1601,A01
Rated Bullet game,2018.11.15,heartquake19,Maerceci,1-0,1652,1702,C00
Rated Bullet game,2018.11.15,mlnchly,Maerceci,0-1,1641,1642,C01
Rated Bullet game,2018.11.15,Maerceci,keyofdoor,1/2-1/2,1597,1643,D06
Rated Bullet game,2018.11.15,hasanelias,Maerceci,1-0,1652,1697,A09
Rated Bullet game,2018.11.15,cubesys,Maerceci,0-1,1641,1666,C01
Rated Bullet game,2018.11.15,Maerceci,cubesys,0-1,1656,1651,D30
Rated Bullet game,2018.11.15,Maerceci,bo1grama,1-0,1585,1642,A40
Rated Bullet game,2018.11.15,bo1grama,Maerceci,0-1,1633,1593,C00
Rated Bullet game,2018.11.15,Maerceci,wildmild,1-0,1542,1625,A43
Rated Bullet game,2018.11.15,Maerceci,daranb,0-1,1624,1636,A43
Rated Bullet game,2018.11.15,ermak1917,Maerceci,1-0,1646,1628,C00
Rated Bullet game,2018.11.15,Maerceci,Vedmack,0-1,1669,1656,A40
Rated Correspondence game,2018.11.15,Maerceci,JeanBrito,1-0,1500,1500,D30
Rated Bullet game,2018.11.14,anon_chess_player,Maerceci,1-0,1667,1669,C02
Rated Bullet game,2018.11.14,naix11,Maerceci,1-0,1678,1664,C00
Rated Bullet game,2018.11.14,Maerceci,SteppingStone,0-1,1872,1683,D20
Rated Bullet game,2018.11.14,korgboy,Maerceci,0-1,1674,1631,C01
Rated Bullet game,2018.11.14,emmanuelph,Maerceci,1-0,1684,1674,D05
Rated Bullet game,2018.11.14,Maerceci,giammy,0-1,1732,1694,E11
Rated Bullet game,2018.11.14,Maerceci,Baskerville1970,0-1,1661,1705,D06
Rated Bullet game,2018.11.14,MattTurner,Maerceci,1-0,1715,1736,C02
Rated Bullet game,2018.11.14,Maerceci,arceburgo,1-0,1670,1706,D21
Rated Bullet game,2018.11.14,InQizytor,Maerceci,0-1,1695,1709,A03
Rated Bullet game,2018.11.14,Maerceci,sahalinec,1-0,1680,1685,D30
Rated Bullet game,2018.11.14,Maerceci,naix11,1-0,1671,1675,D08
Rated Bullet game,2018.11.14,nikanoff,Maerceci,0-1,1662,1745,C00
Rated Bullet game,2018.11.14,Maerceci,ebanarik,0-1,1677,1672,D11
Rated Bullet game,2018.11.14,PinkFloyd_1,Maerceci,1-0,1682,1689,C00
Rated Bullet game,2018.11.14,Jularche,Maerceci,0-1,1672,1660,C00
Rated Bullet game,2018.11.14,DneprMAX,Maerceci,1-0,1682,1698,A09
Rated Bullet game,2018.11.14,Maerceci,Sergey_Shauduroff,1/2-1/2,1652,1683,A51
Rated Bullet game,2018.11.14,Maerceci,samajim7,1-0,1630,1674,A41
Rated Bullet game,2018.11.14,EmirSorensen,Maerceci,1-0,1683,1725,D00
Rated Bullet game,2018.11.14,Maerceci,imbalances,1-0,1653,1673,A41
Rated Bullet game,2018.11.14,North_Pole,Maerceci,1-0,1683,1697,C00
Rated Bullet game,2018.11.14,TwoFold,Maerceci,1-0,1693,1728,D30
Rated Bullet game,2018.11.14,Maerceci,kori1536,0-1,1671,1704,D30
Rated Bullet game,2018.11.14,adasko86gd,Maerceci,1-0,1714,1718,C01
Rated Bullet game,2018.11.14,Maerceci,GodBroly,1-0,1679,1705,A40
Rated Bullet game,2018.11.14,buchard,Maerceci,1-0,1718,1620,A01
Rated Bullet game,2018.11.14,HilarionLefuneste,Maerceci,0-1,1709,1644,D35
Rated Bullet game,2018.11.14,Maerceci,moewi,0-1,1720,1720,E77
Rated Bullet game,2018.11.14,bobi_208,Maerceci,1-0,1731,1689,D06
Rated Bullet game,2018.11.14,Djabbar1,Maerceci,0-1,1719,1766,C00
Rated Bullet game,2018.11.14,Maerceci,Djabbar1,1/2-1/2,1767,1718,D70
Rated Bullet game,2018.11.14,caront,Maerceci,1-0,1729,1706,C01
Rated Bullet game,2018.11.14,Strontium51,Maerceci,1-0,1738,1778,C10
Rated Bullet game,2018.11.14,Maerceci,Strontium51,0-1,1768,1748,A51
Rated Bullet game,2018.11.14,Maerceci,mahipal9,0-1,1674,1761,A40
Rated Bullet game,2018.11.13,Maerceci,eldebarva,1-0,1873,1747,E60
Rated Bullet game,2018.11.13,eldebarva,Maerceci,1-0,1755,1865,D05
Rated Bullet game,2018.11.13,Maerceci,plutarco11,1-0,1796,1743,D30
Rated Bullet game,2018.11.13,Maerceci,ms418,1-0,1742,1732,E11
Rated Bullet game,2018.11.13,Maerceci,Murtaza93,1-0,1662,1723,D30
Rated Bullet game,2018.11.13,Aralmen,Maerceci,0-1,1712,1729,D35
Rated Bullet game,2018.11.13,Maerceci,odradek7,1-0,1689,1702,E10
Rated Bullet game,2018.11.13,odradek7,Maerceci,1-0,1714,1678,D37
Rated Bullet game,2018.11.13,maj5b911,Maerceci,0-1,1709,1488,C00
Rated Bullet game,2018.11.13,Maerceci,Lesha_Pakki,1-0,1678,1699,D08
Rated Bullet game,2018.11.13,Lesha_Pakki,Maerceci,0-1,1689,1688,D05
Rated Bullet game,2018.11.13,Maerceci,Lesha_Pakki,1-0,1698,1678,D08
Rated Bullet game,2018.11.13,Lesha_Pakki,Maerceci,1-0,1688,1689,C00
Rated Bullet game,2018.11.13,Maerceci,kubanychsyimyk2011,0-1,1735,1698,D20
Rated Bullet game,2018.11.13,Maerceci,chucknorrista,0-1,1708,1708,A40
Rated Bullet game,2018.11.13,Maerceci,Gerald18,1-0,1766,1696,A43
Rated Bullet game,2018.11.13,DmitryDV,Maerceci,1-0,1705,1740,C01
Rated Bullet game,2018.11.13,Daquan,Maerceci,1-0,1714,1753,A00
Rated Bullet game,2018.11.13,Maerceci,Daquan,0-1,1744,1724,A43
Rated Bullet game,2018.11.13,Aris1982,Maerceci,1-0,1733,1796,C00
Rated Bullet game,2018.11.13,Maerceci,DoubleGin,1-0,1714,1723,A40
Rated Bullet game,2018.11.13,ronoroa,Maerceci,0-1,1711,1763,C00
Rated Bullet game,2018.11.12,Maerceci,moscu1936,0-1,1664,1723,E12
Rated Bullet game,2018.11.12,moscu1936,Maerceci,0-1,1713,1673,B23
Rated Bullet game,2018.11.12,Maerceci,moscu1936,1-0,1682,1704,D11
Rated Bullet game,2018.11.12,moscu1936,Maerceci,0-1,1693,1692,C10
Rated Bullet game,2018.11.12,Maerceci,moscu1936,1-0,1703,1682,E11
Rated Bullet game,2018.11.12,nicholashart,Maerceci,0-1,1673,1628,C00
Rated Bullet game,2018.11.12,Bijoux,Maerceci,1/2-1/2,1673,1683,C00
Rated Bullet game,2018.11.12,Maerceci,khrisanfov,0-1,1684,1683,A40
Rated Bullet game,2018.11.12,Maerceci,Catch,1-0,1657,1673,D55
Rated Bullet game,2018.11.12,Maerceci,Murtaza93,1-0,1636,1664,D55
Rated Bullet game,2018.11.12,burimjez1,Maerceci,0-1,1653,1651,A00
Rated Bullet game,2018.11.12,Desymo99,Maerceci,0-1,1643,1621,B23
Rated Bullet game,2018.11.12,Maerceci,DSFarraway,1-0,1577,1634,A51
Rated Bullet game,2018.11.12,bondarev,Maerceci,0-1,1626,1549,A11
Rated Bullet game,2018.11.12,birbant,Maerceci,0-1,1618,1537,D05
Rated Bullet game,2018.11.12,Maerceci,birbant,1-0,1544,1609,D21
Rated Bullet game,2018.11.12,birbant,Maerceci,0-1,1600,1552,D05
Rated Bullet game,2018.11.12,Maerceci,birbant,1-0,1560,1590,A41
Rated Bullet game,2018.11.12,birbant,Maerceci,1-0,1603,1550,D05
Rated Bullet game,2018.11.12,Maerceci,birbant,1-0,1558,1593,D21
Rated Bullet game,2018.11.12,birbant,Maerceci,0-1,1583,1567,D05
Rated Bullet game,2018.11.12,Maerceci,birbant,0-1,1557,1595,D20
Rated Bullet game,2018.11.12,birbant,Maerceci,0-1,1585,1565,D05
Rated Bullet game,2018.11.12,Maerceci,equinox772,0-1,1630,1594,D11
Rated Bullet game,2018.11.12,Maerceci,minows,0-1,1591,1605,D30
Rated Bullet game,2018.11.12,Maerceci,TCoverdale43,1-0,1599,1595,A43
Rated Bullet game,2018.11.12,MartyLegrand,Maerceci,1-0,1605,1633,C00
Rated Bullet game,2018.11.12,Maerceci,dstevens69,0-1,1639,1615,A40
Rated Bullet game,2018.11.12,dstevens69,Maerceci,1-0,1625,1629,C02
Rated Bullet game,2018.11.12,Maerceci,vitorben10,1-0,1614,1615,A51
Rated Bullet game,2018.11.12,Rolfo,Maerceci,0-1,1603,1634,C00
Rated Bullet game,2018.11.12,E4whyNot1,Maerceci,0-1,1592,1592,C01
Rated Bullet game,2018.11.12,Maerceci,chuchoastu,0-1,1552,1603,D20
Rated Bullet game,2018.11.12,Hema95,Maerceci,0-1,1593,1567,C00
Rated Bullet game,2018.11.10,Maerceci,Nothingy,1-0,1548,1583,D44
Rated Bullet game,2018.11.10,Nothingy,Maerceci,0-1,1573,1558,A08
Rated Bullet game,2018.11.10,Maerceci,Nothingy,1-0,1568,1561,D30
Rated Bullet game,2018.11.10,Nothingy,Maerceci,1-0,1573,1558,A08
Rated Bullet game,2018.11.10,Maerceci,Nothingy,1-0,1568,1562,D61
Rated Bullet game,2018.11.10,Nothingy,Maerceci,0-1,1549,1579,D21
Rated Bullet game,2018.11.10,Maerceci,Nothingy,0-1,1569,1560,D30
Rated Bullet game,2018.11.10,Maerceci,Moonfriend,1-0,1535,1550,D21
Rated Bullet game,2018.11.10,Jasonrebjazz,Maerceci,0-1,1539,1527,C00
Rated Bullet game,2018.11.09,Maerceci,htb91,0-1,1479,1552,D55
Rated Bullet game,2018.11.09,Maerceci,obanna,1-0,1422,1545,E11
Rated Bullet game,2018.11.09,Bib_Bib_I_Am_Ajib,Maerceci,0-1,1533,1535,C00
Rated Bullet game,2018.11.09,zataar10,Maerceci,1-0,1546,1510,C02
Rated Bullet game,2018.11.09,locke_blackbow,Maerceci,1-0,1557,1570,D50
Rated Bullet game,2018.11.08,Maerceci,Will_Setzer,0-1,1501,1571,A40
Rated Bullet game,2018.11.08,Maerceci,BZurcher,0-1,1678,1580,A40
Rated Bullet game,2018.11.08,ruhimoto,Maerceci,0-1,1568,1564,D37
Rated Bullet game,2018.11.08,Maerceci,att461871,0-1,1563,1581,D30
Rated Bullet game,2018.11.08,i_sevilla,Maerceci,0-1,1569,1567,B40
Rated Bullet game,2018.11.08,Maerceci,RamezGabali,1-0,1534,1557,A53
Rated Bullet game,2018.11.08,gavenes,Maerceci,0-1,1549,1500,D00
Rated Bullet game,2018.11.08,Maerceci,ahaji2368,1-0,1540,1537,A40
Rated Bullet game,2018.11.08,Dgojer,Maerceci,1-0,1548,1593,D02
Rated Bullet game,2018.11.08,argentinacampeon2018,Maerceci,1-0,1566,1419,C01
Rated Bullet game,2018.11.08,Maerceci,freshistheworld,0-1,1621,1577,A40
Rated Bullet game,2018.11.07,Yoshi_Toranaga,Maerceci,1-0,1593,1502,D03
Rated Bullet game,2018.11.07,Maerceci,Yoshi_Toranaga,1-0,1510,1583,A54
Rated Bullet game,2018.11.07,Yoshi_Toranaga,Maerceci,1-0,1600,1498,D03
Rated Bullet game,2018.11.07,Maerceci,Yoshi_Toranaga,1-0,1505,1589,A54
Rated Bullet game,2018.11.07,AndyIvanov,Maerceci,1-0,1600,1688,B07
Rated Bullet game,2018.11.07,IlyaNos,Maerceci,1-0,1614,1592,A00
Rated Bullet game,2018.11.07,Maerceci,BarbaBlannk,1-0,1614,1600,D06
Rated Bullet game,2018.11.07,BoipucciConnoisseur,Maerceci,1-0,1615,1586,A01
Rated Bullet game,2018.11.07,LickMyKnightSac,Maerceci,1-0,1628,1684,C13
Rated Bullet game,2018.11.07,Maerceci,LickMyKnightSac,0-1,1675,1641,D07
Rated Bullet game,2018.11.07,Poncheki,Maerceci,0-1,1623,1686,A00
Rated Bullet game,2018.11.07,Maerceci,vivigm,0-1,1581,1641,D30
Rated Bullet game,2018.11.07,Maerceci,JonezyJR,1-0,1647,1624,D06
Rated Bullet game,2018.11.07,chucknorrista,Maerceci,0-1,1607,1605,A00
Rated Bullet game,2018.11.07,Maerceci,Fern22,1-0,1604,1590,D06
Rated Bullet game,2018.11.07,Itseyce,Maerceci,0-1,1570,1606,D10
Rated Bullet game,2018.11.07,Maerceci,Mentama,1-0,1417,1559,D21
Rated Bullet game,2018.11.07,THAT-ONE-GUY,Maerceci,0-1,1537,1586,A11
Rated Bullet game,2018.11.07,Maerceci,reza1363,1-0,1558,1515,D08
Rated Bullet game,2018.11.07,Maerceci,Juliorivera,0-1,1550,1535,E11
Rated Bullet game,2018.11.07,krzhalovski,Maerceci,1-0,1552,1628,D06
Rated Bullet game,2018.11.07,Berzin,Maerceci,0-1,1530,1521,B23
Rated Bullet game,2018.11.07,Maerceci,Rafacaco,1-0,1452,1511,D11
Rated Bullet game,2018.11.07,Naxcivan_sadiq,Maerceci,1-0,1529,1500,C07
Rated Bullet game,2018.11.07,Maerceci,Salatek18,0-1,1538,1556,A51
Rated Bullet game,2018.11.07,Burn20,Maerceci,0-1,1528,1535,A00
Rated Bullet game,2018.11.07,Maerceci,amortada,1-0,1512,1499,D25
Rated Bullet game,2018.11.07,Maerceci,disassorted,1-0,1414,1473,A43
Rated Bullet game,2018.11.07,E_Sh_Irk,Maerceci,1-0,1502,1551,C00
Rated Bullet game,2018.11.07,Maerceci,nikcha,0-1,1505,1542,D20
Rated Bullet game,2018.11.07,olegfr151,Maerceci,1-0,1580,1601,C00
Rated Bullet game,2018.11.07,Maerceci,CnRo,1-0,1534,1535,A40
Rated Bullet game,2018.11.07,lalquing,Maerceci,0-1,1484,1482,C07
Rated Bullet game,2018.11.07,DaiCuIapa,Maerceci,1-0,1556,1481,C00
Rated Bullet game,2018.11.07,Maerceci,DaiCuIapa,1-0,1490,1484,A40
Rated Bullet game,2018.11.07,PremSinghBhati,Maerceci,1-0,1573,1571,C00
Rated Bullet game,2018.11.07,chessplayer00X,Maerceci,1-0,1676,1720,C02
Rated Bullet game,2018.11.07,Maerceci,Lukas2012,1-0,1503,1500,A40
Rated Bullet game,2018.11.07,Maerceci,Lukas2012,1-0,1503,1500,A40
